"","neighbourhood","price"
"1","Banyule",109.453201970443
"2","Bayside",225.421333333333
"3","Boroondara",157.072289156627
"4","Brimbank",79.0925925925926
"5","Cardinia",167.121951219512
"6","Casey",215.843137254902
"7","Darebin",126.458452722063
"8","Frankston",158.632768361582
"9","Glen Eira",118.541996830428
"10","Greater Dandenong",99.6802721088435
"11","Hobsons Bay",137.866108786611
"12","Hume",108.552941176471
"13","Kingston",135.686084142395
"14","Knox",106.502857142857
"15","Manningham",154.111821086262
"16","Maribyrnong",108.713302752294
"17","Maroondah",101.904347826087
"18","Melbourne",154.134500542888
"19","Melton",103.115789473684
"20","Monash",105.287215411559
"21","Moonee Valley",109.848837209302
"22","Moreland",105.651499482937
"23","Nillumbik",147.5
"24","Port Phillip",163.220441595442
"25","Stonnington",165.938926588526
"26","Whitehorse",99.7035830618892
"27","Whittlesea",87.7080291970803
"28","Wyndham",105.953051643192
"29","Yarra",144.670571010249
"30","Yarra Ranges",245.974059662776
