"","neighbourhood","price","latitude","longitude"
"1","Banyule",109.453201970443,-37.906046883541,145.350686865831
"2","Bayside",225.421333333333,-37.9295920402938,145.025677468024
"3","Boroondara",157.072289156627,-38.0572541393463,145.339356130799
"4","Brimbank",79.0925925925926,-37.9488324494711,145.543614573151
"5","Cardinia",167.121951219512,-37.8383002911292,144.993823053573
"6","Casey",215.843137254902,-37.8597550222528,144.977369131292
"7","Darebin",126.458452722063,-38.1493204543378,145.14156886702
"8","Frankston",158.632768361582,-37.8108825207681,145.088999463381
"9","Glen Eira",118.541996830428,-37.8148557867854,144.962671623092
"10","Greater Dandenong",99.6802721088435,-37.7726839279316,145.092132846734
"11","Hobsons Bay",137.866108786611,-37.697411694837,145.18115422839
"12","Hume",108.552941176471,-37.8031155057259,144.976603138129
"13","Kingston",135.686084142395,-37.8704457420788,144.823587662072
"14","Knox",106.502857142857,-38.0175956092565,145.095976005566
"15","Manningham",154.111821086262,-37.7589707173934,144.98922790667
"16","Maribyrnong",108.713302752294,-37.8697118983398,145.006616511303
"17","Maroondah",101.904347826087,-37.7861848665033,144.934396991566
"18","Melbourne",154.134500542888,-37.7529114143436,145.066460346588
"19","Melton",103.115789473684,-37.8156527295693,144.888697751173
"20","Monash",105.287215411559,-37.6904486769674,144.929674569582
"21","Moonee Valley",109.848837209302,-37.8675322931342,145.280177685195
"22","Moreland",105.651499482937,-37.8963965793336,144.746899594323
"23","Nillumbik",147.5,-37.7665051183353,144.980736099524
"24","Port Phillip",163.220441595442,-37.9000602255036,145.11581619017
"25","Stonnington",165.938926588526,-37.7266401239801,144.731708622882
"26","Whitehorse",99.7035830618892,-37.7944192313222,145.295600091251
"27","Whittlesea",87.7080291970803,-37.8113631833245,145.124040381813
"28","Wyndham",105.953051643192,-37.9745257544628,145.156459078323
"29","Yarra",144.670571010249,-37.6831086081569,145.072859478833
"30","Yarra Ranges",245.974059662776,-37.7306120872857,144.826162508989
